start	end	text
0	5200	Dag lieve rekenaars, wat fijn dat jullie willen helpen met het bevrijden van de dieren.
5980	9920	Hier leggen wij jullie uit wat jullie moeten doen, dus let even goed op.
10820	14020	Wanneer jullie rechts op jullie scherm een oor zien verschijnen,
14580	17920	is het zeer belangrijk dat jullie heel goed luisteren.
18860	23560	Pas wanneer het oor terug verdwijnt, mogen jullie het toetsenbord gebruiken.
24340	28180	Dit is jullie startscherm, hier moeten jullie zelf niets doen.
28180	31920	De onderzoeker zal voor jullie op start komen drukken.
32720	36400	Dan komen de echte rekenoefeningen om de dieren te bevrijden.
37220	40440	Nu ga ik het scherm voor jullie laten verdwijnen,
40960	44520	zodat de onderzoeker niet moet storen tijdens de uitleg.
