start	end	text
0	2280	Goed gedaan, je kent de smileys goed nu.
2800	7340	Nu heb ik nog één belangrijke opmerking bij de smileys die je goed moet onthouden.
7920	11780	Eigenlijk zijn er geen goede of slechte smileys.
12560	13980	Je mag ze allemaal gebruiken.
14560	18260	Jij moet de smiley kiezen die het best bij jouw gevoel past.
19300	23300	Zo laat je de computer weten hoe zeker je bent van je antwoord.
24520	26440	Nog eventjes alles herhalen.
26440	31380	Je krijgt een rekenoefening te zien en geeft zo goed mogelijk antwoord.
31960	34780	Dat wil zeggen zo juist en zo snel mogelijk.
35560	39680	Daarna geef je met de smileys aan hoe zeker je bent van je antwoord.
40540	43940	Je drukt telkens op de blauwe bol wanneer je een antwoord geeft.
